Name,Stars,Rooms,Beds,Postcal Code,Nr,Location
LA BOHEME HOTEL,2,18,39,1017PK,415,52.3645:4.8813
CC HOTEL,3,81,158,1012JE,40-42,52.3758:4.8986
SHELTER JORDAN CHRISTIAN HOSTEL,0,14,98,1016LA,179,52.3732:4.8775
BOB'S YOUTH HOSTEL,0,16,138,1012SG,92,52.3757:4.8925
"FLYING PIG UPTOWN HOSTEL,THE",0,20,118,1071AJ,46,52.3604:4.8785
"FLYING PIG DOWNTOWN HOSTEL,THE",0,29,182,1012MR,100,52.3767:4.8963
ARENA HOTEL,4,116,232,1092AA,51,52.3613:4.9156
HOTEL FITA,3,15,27,1071CL,37,52.3592:4.8795
"LEIDSEPLEIN HOTEL,HET",1,12,40,1017PW,79,52.3646:4.883
NL HOTEL AMSTERDAM,3,13,26,1054AB,368,52.3658:4.878
WINSTON HOTEL,2,67,183,1012JA,129,52.3742:4.8966
AROZA HOSTEL,0,9,29,1012LZ,23,52.3786:4.8951
SEBASTIAN'S HOTEL,3,34,71,1015CC,15-17,52.3793:4.89
ART GALLERY HOTEL,2,18,34,1017RX,67,52.3615:4.8863
STAYOKAY AMSTERDAM STADSDOELEN,0,13,176,1011KB,97,52.3689:4.8973
STAYOKAY AMSTERDAM VONDELPARK,0,105,536,1054GA,5,52.3612:4.8786
LEIDSESQUARE LUXURY SUITES,0,5,20,1017PS,13-17,52.3637:4.8828
POSTHOORN B&B,0,3,6,1015DK,7,52.3798:4.8882
CANAL VIEW APARTMENTS LEX,0,4,8,1016CR,74,52.366:4.8818
SASHA B&B AMSTERDAM CITY CENTER,0,3,6,1017HG,71,52.364:4.8926
WEST VIOLET B&B,0,3,6,1015NP,4,52.3784:4.885
IJ B&B,0,5,10,1093SK,17 HS,52.3661:4.9283
"LOOIER HOTEL,DE",3,28,68,1016VD,75,52.3686:4.8794
GROENENDAEL HOTEL,0,16,30,1012LZ,15,52.3786:4.8951
HOTEL THE EXCHANGE,3,61,122,1012LL,49-51,52.3753:4.8955
A-TRAIN HOTEL,3,34,73,1012TM,23,52.3781:4.8968
TITUS HOTEL,0,19,53,1017PM,74,52.3647:4.8798
THE TIMES HOTEL,3,33,69,1015BG,137,52.3758:4.8893
WESTCORD FASHION HOTEL AMSTERDAM,4,260,531,1058GC,1,52.3567:4.8444
AMISTAD HOTEL,2,8,14,1017GM,42,52.3654:4.8853
TRAVEL HOTEL,2,30,81,1012JV,23,52.3747:4.8965
MEETING POINT HOSTEL,0,10,111,1012JD,14,52.3761:4.8991
PRINSENGRACHT HOTEL,3,34,64,1017KN,1015-1017,52.3621:4.8944
FRISCO INN HOTEL,1,11,22,1012JT,5,52.3751:4.8971
"VETERAN,THE",0,12,28,1017BW,561,52.3651:4.8951
MY HOME HOTEL,1,8,16,1013EV,82,52.3805:4.8914
IBIS AMSTERDAM CENTRE,3,363,786,1012AB,49,52.3787:4.8997
MULTATULI HOTEL,3,29,54,1012TL,12,52.3787:4.8961
VONDEL HOTEL,4,86,163,1054GE,26,52.3624:4.8773
ROBERTRAMON HOTEL,3,51,90,1071BX,24-28,52.3611:4.8834
PRINSENHOF HOTEL,1,11,23,1017JL,810,52.362:4.8995
LIBERTY HOTEL,0,4,9,1012VC,5,52.3774:4.893
ORANJE TULP,2,16,44,1012LK,32,52.3758:4.8961
WEST SIDE INN HOTEL,3,232,501,1059VD,250,52.3489:4.8448
"GLOBE, HOTEL DE",0,25,124,1012EH,3,52.3749:4.9
NES HOTEL,3,39,71,1011KE,137-139,52.3679:4.8963
CAMPANILE AMSTERDAM Z.O. HOTEL,3,74,148,1108AX,3,52.3112:4.9856
"CITY CENTRE,NH",3,209,438,1012VX,288-292,52.3693:4.8886
BASTION HOTEL AMSTERDAM CENTRUM-NOORD,3,68,136,1025KN,28,52.3953:4.9297
ESTHEREA HOTEL,4,92,192,1012WJ,303-309,52.3703:4.8885
CITADEL HOTEL,3,38,74,1012SG,98-100,52.3757:4.8925
WESTCORD CITY CENTRE HOTEL AMSTERDAM,3,106,219,1012SC,50,52.3764:4.8934
BACKSTAGE HOTEL,2,22,55,1016CT,114,52.3656:4.8807
IBIS STYLES AMSTERDAM AMSTEL,3,45,82,1074AW,131,52.3579:4.9003
AMBASSADE HOTEL,4,59,117,1016AZ,341,52.3694:4.8872
ABBA HOTEL,1,36,76,1054HM,118-120,52.3628:4.8746
BARBACAN HOTEL,2,22,36,1018TN,89,52.3654:4.9119
BEURSSTRAAT HOTEL,1,49,105,1012JT,7-9,52.3751:4.8971
"QUENTIN-ENGELAND HOTEL,THE",0,31,65,1054EZ,30,52.3613:4.8765
APOLLOFIRST A HAMPSHIRE CLASSIC HOTEL,4,37,74,1077AP,123-125,52.3504:4.8759
AALBORG HOTEL,3,36,84,1073EC,106-108,52.3537:4.8975
ALLURE HOTEL,3,18,36,1018GB,117,52.3618:4.9104
"GOLDEN REGAL HOTEL,THE",2,13,27,1071ER,8,52.3583:4.8754
"CONVENT HOTEL AMSTERDAM, THE",4,148,296,1012RE,67,52.3752:4.8925
FLORIS FRANCE HOTEL,3,55,123,1012AL,11,52.376:4.9013
MARIANNE HOTEL,3,12,19,1071PV,107,52.3542:4.8787
CENTRE HOTEL,0,17,72,1068WS,87,52.3577:4.808
JUPITER HOTEL,3,20,43,1054CJ,14,52.3649:4.8776
KING HOTEL,2,26,48,1017PN,85-86,52.3641:4.8804
GRAND HOTEL AMR?TH AMSTERDAM,5,165,385,1011AK,108,52.3746:4.9039
REMBRANDT SQUARE HOTEL,1,22,44,1016BJ,24,52.3716:4.8874
BLUE TOWER,4,188,421,1055JE,21,52.3793:4.8465
STAYOKAY ZEEBURG,0,92,478,1094CC,21,52.3653:4.9357
BORGMANN VILLA HOTEL,3,15,31,1075AE,48,52.3555:4.8625
IBIS AMSTERDAM CITY WEST,3,180,380,1014AK,36,52.3925:4.8494
KAP HOTEL,2,13,27,1017XW,5B,52.359:4.8937
The Poet Hotel,2,64,128,1071CR,40-44,52.3601:4.882
CORNER HOUSE HOTEL,0,19,31,1012RH,121,52.3744:4.8916
"TOWNHOUSE HOTEL, THE",0,10,20,1017JL,816,52.362:4.8995
TRIANON HOTEL VOF,2,42,91,1071LH,3-7,52.3561:4.8778
VAN BONGA HOTEL-PENSION,2,17,34,1077VB,1,52.3462:4.8757
GALERIJ HOTEL,0,19,40,1016DD,43,52.3737:4.8857
ACCA INTERNATIONAL HOTEL,0,45,80,1071CW,3A,52.3594:4.8798
IRISH PUB DURTY NELLY'S INN,0,10,66,1012JA,115-117,52.3742:4.8966
CENTRAAL HOSTEL,0,14,51,1018SZ,19,52.3661:4.9113
BILDERBERG HOTEL JAN LUYKEN,4,62,113,1071CS,58,52.3598:4.881
M-HOTEL MUSEUMPLEIN,3,17,34,1071RT,34,52.3547:4.8827
HEMP HOTEL/EETCAFE AMSTERDAM,1,5,9,1017XK,15,52.3613:4.9003
REMBRANDTPLEIN HOTEL,0,20,44,1011HR,27,52.3693:4.8989
KEIZERSHOF HOTEL,1,5,9,1017ER,618,52.3638:4.891
REMBRANDT HOTEL,2,17,33,1018DA,17,52.3672:4.9101
EAZIRES LUXER HOTEL,3,47,130,1012HT,11,52.376:4.8992
"WITTE TULP HOTEL,DE",0,14,80,1012HZ,87,52.3746:4.8972
AMSTELZICHT HOTEL,3,12,24,1017AD,104,52.3669:4.8976
ITC HOTEL,2,22,32,1017JE,1051,52.3623:4.8988
HEEMSKERK HOTEL,4,4,8,1071LH,25,52.3561:4.8778
MAX IN MOKUM HOTEL,2,15,55,1074BK,7,52.358:4.9021
"PORT VAN CLEVE,DIE",4,122,263,1012SJ,176-180,52.3745:4.8911
"OUDE TAVEERNE,DE, Hotel-Restaurant",4,14,32,1026CB,73,52.3777:4.9883
"WESTERTOREN HOTEL,DE",1,8,18,1016DC,35,52.3734:4.8862
NH MUSICA,4,213,426,1082GG,221,52.3273:4.8798
HOKSBERGEN HOTEL,2,19,48,1012WH,301,52.3708:4.8886
SYMPHONY HOTEL VIVALDI,2,48,93,1072AE,76,52.358:4.8904
"STERN, HOTEL DE",1,6,19,1017VN,18,52.3653:4.8976
AMSTEL BOTEL,3,170,349,1033RG,,52.3717:4.8841
SANDER HOTEL,3,20,47,1071KJ,69,52.3543:4.877
SEASONS HOTEL,3,44,101,1074AZ,135,52.358:4.9009
VINCENT VAN GOGH HOTEL,0,13,22,1071CW,5,52.3594:4.8798
BOUTIQUE VIEW HOTEL,2,14,28,1017PM,77,52.3647:4.8798
