Name,Stars,Rooms,Beds,Postcal Code,Nr,Location
Grand Hotel Downtown,4,46,92,1054BR,10A,52.3646:4.8736
Hotel Room Mate Aitana,4,284,568,1013MM,6,52.3845:4.8947
The Student Hotel Amsterdam,3,98,196,1061AZ,335,52.3728:4.8391
Faralda NDSM Kraanhotel Amsterdam,0,3,6,1033WB,78,52.4005:4.8943
Art'Otel Amsterdam,0,107,214,1012TM,33,52.3781:4.8968
Prinsenhuis,0,3,6,1017KL,967,52.3623:4.8925
Isis Hotel,2,22,46,1021GS,17,52.384:4.913
Art Bed Breakfast,0,3,6,1017SC,123,52.3603:4.8889
Hotel V Lofts,3,6,12,1018XV,138,52.3623:4.9058
B&B Apostrophe,0,3,6,1103RA,258,52.3265:4.9824
Hampton by Hilton Amsterdam Arena Boulevard,3,260,520,1102BR,1,52.3126:4.9486
Reijgersbroeck Bed & Breakfast,0,4,8,1108AB,30,52.3115:5.0001
Brooklyn hotel,4,88,160,1033WB,28,52.4005:4.8943
